frame,emotion
1,fear
2,fear
3,fear
4,fear
5,fear
6,fear
7,fear
8,fear
9,fear
10,fear
11,fear
12,fear
13,fear
14,fear
15,fear
16,fear
17,fear
18,fear
19,fear
20,fear
21,fear
22,fear
23,fear
24,fear
25,fear
26,fear
27,fear
28,fear
29,fear
30,fear
31,fear
32,fear
33,fear
34,fear
35,fear
36,fear
37,fear
38,fear
39,fear
40,fear
41,fear
42,fear
43,fear
44,fear
45,fear
46,fear
47,fear
48,fear
49,fear
50,fear
51,fear
52,fear
53,fear
54,fear
55,fear
56,fear
57,fear
58,fear
59,fear
60,fear
61,fear
62,fear
63,fear
64,fear
65,fear
66,fear
67,fear
68,fear
69,fear
70,fear
71,fear
72,fear
73,fear
74,fear
75,fear
76,fear
77,fear
78,fear
79,fear
80,fear
81,fear
82,fear
83,fear
84,fear
85,fear
86,fear
87,fear
88,fear
89,fear
90,fear
91,fear
92,fear
93,fear
94,fear
95,fear
96,fear
97,fear
98,fear
99,fear
100,fear
101,fear
102,fear
103,fear
104,fear
105,fear
106,fear
107,fear
108,fear
109,fear
110,fear
111,fear
112,fear
113,fear
114,fear
115,fear
116,fear
117,fear
118,fear
119,fear
120,fear
121,fear
122,fear
123,fear
124,fear
125,fear
126,neutral
127,fear
128,fear
129,fear
130,fear
131,sad
132,sad
133,fear
134,fear
135,fear
136,fear
137,fear
138,fear
139,fear
140,surprise
141,fear
142,fear
143,fear
144,fear
145,fear
146,fear
147,fear
148,fear
149,fear
150,fear
151,fear
152,fear
153,fear
154,fear
155,fear
156,fear
157,fear
158,fear
159,fear
160,fear
161,fear
162,fear
163,happy
164,happy
165,happy
166,fear
167,fear
168,fear
169,fear
170,fear
171,fear
172,fear
173,fear
174,fear
175,fear
176,fear
177,fear
178,fear
179,fear
180,fear
181,fear
182,fear
183,fear
184,fear
185,fear
186,fear
187,neutral
188,neutral
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,neutral
197,fear
198,fear
199,neutral
200,fear
201,fear
202,fear
203,fear
204,fear
205,fear
206,neutral
207,neutral
208,neutral
209,neutral
210,neutral
211,neutral
212,neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,neutral
220,neutral
221,neutral
222,fear
223,fear
224,fear
225,neutral
226,neutral
227,neutral
228,fear
229,fear
230,fear
231,fear
232,fear
233,fear
234,fear
235,neutral
236,neutral
237,neutral
238,neutral
239,neutral
240,fear
241,fear
242,fear
243,surprise
244,surprise
245,surprise
246,surprise
247,surprise
248,surprise
249,surprise
250,surprise
251,surprise
252,surprise
253,surprise
254,surprise
255,surprise
256,surprise
257,surprise
258,surprise
259,surprise
260,surprise
261,surprise
262,surprise
263,surprise
264,surprise
265,surprise
266,surprise
267,surprise
268,surprise
269,surprise
270,surprise
271,surprise
272,surprise
273,surprise
274,surprise
275,surprise
276,surprise
277,surprise
278,surprise
279,surprise
280,surprise
281,surprise
282,neutral
283,neutral
284,neutral
285,surprise
286,surprise
287,fear
288,surprise
289,surprise
290,surprise
291,surprise
292,surprise
293,surprise
294,surprise
295,surprise
296,fear
297,fear
298,fear
299,surprise
300,surprise
301,fear
302,fear
303,fear
304,fear
305,surprise
306,surprise
307,surprise
308,surprise
309,surprise
310,surprise
311,surprise
312,surprise
313,surprise
314,fear
315,fear
316,fear
317,fear
318,fear
319,neutral
320,neutral
321,neutral
322,fear
323,surprise
324,surprise
325,surprise
326,surprise
327,surprise
328,neutral
329,neutral
330,neutral
331,fear
332,fear
333,fear
334,fear
335,fear
336,fear
337,fear
338,fear
339,fear
340,neutral
341,fear
342,fear
343,surprise
344,surprise
345,surprise
346,surprise
347,surprise
348,neutral
349,neutral
350,neutral
351,sad
352,sad
